Time,Liters
2023-08-10 14:02:00,40
2023-08-10 14:19:00,100
2023-08-10 14:30:00,133
2023-08-10 14:43:00,200
2023-08-10 15:08:00,300
2023-08-10 15:38:00,390
2023-08-10 15:52:00,432
2023-08-10 16:08:00,480
2023-08-10 16:18:00,500
2023-08-10 16:36:00,549.8
2023-08-10 16:55:00,599.2
2023-08-10 17:19:00,659.2
2023-08-10 17:38:00,706.7
2023-08-10 18:03:00,765.9
2023-08-10 18:23:00,812.9
2023-08-10 18:48:00,871.65
2023-08-10 19:11:00,924.55
2023-08-10 19:37:00,984.35
2023-08-10 19:59:00,1034.95
2023-08-10 20:27:00,1099.35
2023-08-11 09:26:00,2737.35
2023-08-11 10:27:00,2859.35
2023-08-11 14:05:00,2935.35
2023-08-11 14:56:00,3037.35
2023-08-11 15:42:00,3129.35
