Liters,H2O2,StdDev,Experiment
40,2.0568,0.064494031,High Seismicity
100,1.767466667,0.019112649,High Seismicity
133,1.626133333,0.057566078,High Seismicity
200,1.630066667,0.049008707,High Seismicity
300,1.5404,0.043301732,High Seismicity
390,1.4934,0.169176712,High Seismicity
432,1.5056,0.04117475,High Seismicity
480,1.572433333,0.030352814,High Seismicity
500,1.5689,0.039008204,High Seismicity
549.8,1.3782,0.005726022,High Seismicity
599.2,1.450966667,0.066469341,High Seismicity
659.2,1.667566667,0.154151268,High Seismicity
706.7,1.4379,0.05828173,High Seismicity
765.9,1.5159,0.10582873,High Seismicity
812.9,1.4521,0.093055037,High Seismicity
871.65,0.849466667,0.04412724,High Seismicity
924.55,0.874466667,0.065500025,High Seismicity
984.35,0.761466667,0.107749586,High Seismicity
1034.95,0.668666667,0.027800959,High Seismicity
1099.35,0.7564,0.060894335,High Seismicity
2737.35,0.116833333,0.018712919,High Seismicity
2859.35,0.077433333,0.003113412,High Seismicity
2935.35,0.253533333,0.00080829,High Seismicity
3037.35,0.235066667,0.002858904,High Seismicity
3129.35,0.334533333,0.016475841,High Seismicity
40,1.013733333,0.05623036,Low Seismicity
100,3.3394,0.27895039,Low Seismicity
200,0.990266667,0.075329233,Low Seismicity
300,1.1772,0.075228718,Low Seismicity
400,1.353533333,0.085628578,Low Seismicity
500,0.9072,0.074274895,Low Seismicity
532,0.939666667,0.044179784,Low Seismicity
600,0.856066667,0.002023199,Low Seismicity
630,0.8274,0.030441419,Low Seismicity
670,0.7328,0.019948935,Low Seismicity
738,0.7303,0.01846113,Low Seismicity
811,0.8379,0.080165579,Low Seismicity
871,0.8787,0.036549692,Low Seismicity
926,0.772166667,0.014057501,Low Seismicity
981,0.796766667,0.013726374,Low Seismicity
1025,0.721433333,0.012416655,Low Seismicity
3125,0.1974,0.003538361,Low Seismicity
3179,0.120766667,0.012762967,Low Seismicity
3233,0.1147,0.0098,Low Seismicity
0,3.6142,0.117218258,Baseline
44.51612903,0.252333333,0.114565673,Baseline
79.35483871,0.063666667,0.023698383,Baseline
114.9798387,0.091933333,0.077997265,Baseline
190.4637097,0.0588,0.022493555,Baseline
285.6653226,-0.4667,0.106656786,Baseline
392.9380499,-0.4958,0.035668894,Baseline
472.2562317,-0.3374,0.081577019,Baseline
566.8255132,1.8449,0.054767052,Baseline
659.0982405,2.2552,0.338913086,Baseline
748.9378127,1.4646,0.054151731,Baseline
858.3495774,1.6059,0.409459485,Baseline
964.7666897,1.2887,0.012,Baseline
970,0.30455,0.0855,Baseline
